,Unnamed: 0,Country,GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Agricultural water withdrawal as % of total water withdrawal (%),Total population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Net official development assistance and official aid received (current US$),"Mortality rate, infant (per 1,000 live births)",Water Security Index
56,56,Albania,4366.2387931915,13.841158103030693,0.8576876190476206,47.03404988346642,94.90399999999997,93.2291428571429,-738224800.0,19.75377559661865,4.0
57,57,Gabon,9461.281000901858,4.102510870303036,0.7105942857142864,38.78288926857135,99.31600000000005,98.67600000000007,330045344.0,28.28656777739525,4.0
58,58,Eswatini,3968.1682671199956,2.7578362436362336,0.572110476190475,93.58294097649996,90.4460952380955,97.12761904761908,-184611648.0,53.506428718566895,4.0
59,59,Mauritius,11017.319877396338,-2.654329814545349,0.8481561904761925,56.55448490671074,100.15600000000006,99.98742857142862,-499730908.0,6.35660457611084,4.0
60,60,Maldives,9862.83260959998,-0.33073031151536725,0.7764000000000006,0.0,101.22990476190485,99.26971428571431,455335008.0,-10.413557529449463,3.0
61,61,Cabo Verde,3899.015556768485,5.166135147878663,0.6899200000000061,93.10657596200001,96.2721904761903,99.14495238095265,-258361900.0,-30.717159271240234,3.0
62,62,Angola,4568.796645631432,4.4978732921212545,0.6665600000000111,-4.602858448927236,49.40914285714285,85.35809523809577,319218592.0,74.47345972061156,4.0
63,63,Central African Republic,469.29989452485006,39.17478863636373,0.4034704761904751,-0.07229754707856273,72.72933333333356,94.03428571428584,1380853776.0,68.07101368904114,4.0
64,64,Guinea-Bissau,592.6728088860618,45.36619964727278,0.503566666666666,77.37203212961931,93.70609523809573,116.55257142857228,264752328.0,60.375326871871955,4.0
65,65,Kazakhstan,14286.295779241947,-4.164164483809826,0.8582971428571433,51.283611857199965,92.49752380952386,100.232380952381,546742752.0,10.24697732925415,4.0
66,66,Guinea,830.2619094181827,17.964628224242393,0.5218704761904753,33.595158217856806,85.70552380952427,95.03352380952391,-264513440.0,45.59593057632446,4.0
67,67,Colombia,7488.596240796323,0.24667344545434844,0.8113600000000005,39.217982754998964,92.4739047619048,96.57961904761906,1794550944.0,9.518205821514131,4.0
68,68,Mauritania,1634.2582273430164,16.767237589090538,0.5698342857142862,91.17570534792856,69.15314285714341,67.44590476190501,1013163136.0,52.88310861587525,4.0
69,69,Syria,1818.3125672412134,22.04651834181824,0.6036457142857152,86.67294698559995,92.14228571428572,90.19504761904768,22158573824.0,12.916908025741575,4.0
70,70,Uganda,664.0367298872698,18.21335168727205,0.6081619047619071,32.11892020712708,93.07104761904793,101.83180952380962,5040634368.0,38.07728338241577,4.0
71,71,Eritrea,1354.3186029600186,20.613584559999996,0.4318666666666667,101.37892035080016,62.31200000000013,76.8280000000001,1565830944.0,23.812733620405197,4.0
72,72,Fiji,5825.2873658229955,5.552219745454295,0.7398228571428573,58.307144715428564,99.8598095238095,101.88114285714286,181080734.5,24.915639400482178,4.0
