,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),National Rainfall Index (NRI) (mm/yr),Total renewable water resources per capita (m3/inhab/yr),Total exploitable water resources (10^9 m3/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),% of total cultivated area drained (%),Area salinized by irrigation (1000 ha),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhabitants),"Mortality rate, infant (per 1,000 live births)",Net official development assistance and official aid received (current US$),nutrient security,population ages0-14,Population ages 65 and above (_ of total population),Resilience and securityStorage drought duration index(Total dam capacity_km3),Unnamed: 2
83,Iraq,43505.2,11375.936,26898.682,86.31791372,4980.948425,2.92323,0.684,225,2392.898678,,4042.310475,35.27,2.05,1.23,38.55,1026.55513,1.091,91.49156939,54.12640449,4.740492943,0.086863562,42.59664371,,1762,2.4,86.6,70.1,93.8,,21.8,2211909912,42,38.02092726,3.398533134,151.8,
84,Ireland,7028,1764.335,2997.322,67.63345191,70492.92173,1.172684,0.939,1202,10939.81649,43,182.8211641,0.179,0.051,0.631,0.861,181.1381154,0.757,20.78977933,3.64292589,349.7670678,0.094563183,2206.286394,,,2.2,97.9,97.8,97.9,,2.8,,47,21.15037496,14.22283075,0.869,
85,Israel,2207,637.763,7683.807,373.5318532,42450.33189,1.160826,0.904,391.6,215.9185856,1.636,,1.249,0.072,0.983,2.304,279.4811355,,54.21006944,103.3560521,125.6368321,1.475294063,794.4120747,20.70393375,27.82,2.9,100,100,100,,3,,45,27.88557191,12.20867441,,
86,Italy,30134,17722.588,41637.312,201.3463231,33049.35427,1.964175,0.881,830.2,3152.931119,123,165.6005787,17,7.7,9.488,34.188,563.4731265,,49.72504973,29.99885452,48.99527206,0.917270035,46.52887329,,,2.6,100,100,100,,2.7,,30,13.16665751,23.01213665,10.0476,
87,Jamaica,1099,1289.697,1600.602,265.7732484,5122.769551,6.632972,0.725,1328,3705.430752,3.852,1.865896479,0.114,1.1,0.14,1.354,463.5640061,,8.419497784,12.4734362,8.647570869,1.707760683,2.19278051,,,3.5,93.8,89.4,97.5,,11.9,127069999.7,11,23.5312194,8.922391673,0.00545,
88,Japan,37797,10791.174,116693.276,337.335569,38121.90866,1.189257,0.913,1578,3372.476941,,246.8454694,54.43,11.61,15.41,81.45,638.8098764,14.71,66.82627379,37.34344828,54.79946858,0.74200861,102.8591893,,,3,100,100,100,,1.8,,55,12.57303102,28.00204928,31.47347,
89,Jordan,8932,897.788,8804.565,109.5593708,4195.802289,5.542581,0.722,148.8,95.75056538,,28.09364507,0.5547,0.0325,0.4569,1.0441,106.694947,0.148,53.12709511,100.077528,34.98204396,2.148811046,293.4503509,3.966037736,2.277,3,96.9,92.3,97.8,,13.4,2797189941,57,33.56224213,3.893416292,0.27492,
90,Kazakhstan,272490.2,7766.771,10437.728,6.635107978,9162.888194,4.516985,0.813,274.5,5996.122017,,4421.837167,15.12,6.984,2.347,24.451,1352.376897,0.365,61.83796164,31.13730929,7.13553973,0.040001012,8.444551563,1.161648661,404.3,1.7,92.9,85.6,99.4,3.22,9.3,54409999.85,19,28.88124994,7.652343941,79.9469,
91,Kenya,58037,36498.515,13201.347,86.53297379,1584.659911,34.828737,0.574,902.1,611.2963341,0.6,493.5227279,3.234,0.303,0.495,4.032,80.28491268,0.125,80.20833333,33.23990107,10.55128668,0.228062408,33.69755832,,30,3.8,63.2,56.8,81.6,,31.9,3250969971,73,39.19337426,2.42382671,24.785275,
92,Kiribati,81,54.402,61.996,140.9358025,1594.344097,24.09815,0.623,,0,,,,,,,,,,,,,,,,,66.9,50.6,87.3,,40.1,56659999.85,162,35.83830757,4.082274714,,
93,Kuwait,1782,0,4136.528,227.6149832,28897.24196,0.510137,0.809,67.35,4.930846116,,,0.7784,0.0233,0.4483,1.25,308.1778822,0.301,62.272,3850.5,102.435536,0.746018913,2535.556035,0.012987013,4.08,0.6,99,99,99,,6.8,,43,21.56983829,2.763838983,,
94,Kyrgyzstan,19995,3860.7,2184.417,30.9564041,1274.241408,12.514579,0.671,372.5,3815.673471,,3807.918694,7.1,0.336,0.224,7.66,1237.533186,,92.68929504,50.03895598,0.836195637,0.108203205,5.329101913,10.84469864,49.5,2.1,90,86.2,96.7,122.8,,,117,,,23.57,
95,Lao People's Democratic Republic,23680,4501.174,2356.986,29.36247889,2457.379901,16.199682,0.602,1933,47964.66579,,1527.390557,7.02,0.17,0.13,7.32,1052.777672,,95.90163934,4.771838331,1.746073507,0.121899463,19.47389108,,,3.9,75.7,69.4,85.6,,,,36,,,10.62,
96,Latvia,6457,622.436,1327.234,30.2167725,15527.24692,3.469814,0.849,605.4,17907.87439,1.8,515.0948415,0.0615,0.0252,0.0944,0.1811,92.81957791,,33.9591386,1.067177372,132.4173946,0.013705917,182.9953741,,,1.8,99.3,98.3,99.8,,3.1,,187,16.30775621,20.336511,1.005,
97,Lebanon,1045,703.805,5378.552,652.5715789,8778.471832,2.924566,0.732,557.5,660.3246369,2.08,33.43415883,0.7,0.9,0.24,1.84,269.8195274,3,38.04347826,58.79299156,25.64012067,1.410902116,7.057737771,3.875968992,1,2.8,99,99,99,,6.2,1525489990,215,25.57221984,7.273291633,0.228,
98,Lesotho,3036,1614.034,619.305,68.89110672,1154.64483,5.17101,0.514,734.9,1444.872519,,1373.821798,0.0038,0.02,0.02,0.0438,20.94156729,,8.675799087,2.565905097,49.29573206,0.015886049,33.22105521,,,3.3,81.8,77,94.6,,68.1,145979995.7,37,32.46691711,4.925825825,2.873395,
99,Liberia,11137,2332.953,2398.953,42.22165754,453.383621,82.644212,0.466,2413,49338.33465,,50.74192521,0.0123,0.0534,0.0802,0.1459,31.02785787,,8.430431803,0.264311594,4.136983936,0.034143291,3.260132689,,,1.9,75.6,62.6,88.6,,62.2,597309997.6,28,40.75291845,3.285693974,0.2386,
100,Libya,175954,1286.565,5088.051,3.740025234,3940.67063,0.821376,0.704,140.6,106.3712747,0.635,59.24728039,4.85,0.28,0.7,5.83,885.9207589,0.074,83.19039451,817.1428571,3.793107867,0.016367317,52.18621218,0.43902439,190,0,71.2,68.3,72.1,,9.9,316010009.8,,28.06827699,4.458238878,0.38989,
101,Liechtenstein,16,32.493,5.429,236.25,172799.8047,0.13173,0.916,,0,,,,,0.0079,,,,,,,,,,,3.3,,,,,,,,,,,
102,Lithuania,6528.6,938.898,1951.399,43.58383114,16521.10774,3.508087,0.866,585.4,8610.346333,,174.0344287,0.0589,0.0697,0.1304,0.259,91.02366123,,22.74131274,1.867339582,147.5173016,0.033542823,147.6332648,,,2.4,96.6,90.4,99.7,,3,,44,15.13545128,20.15841271,0.4952,
103,Luxembourg,259,54.103,529.352,228.5366795,110003.2474,0.244585,0.908,,5913.061107,2,104.7456539,0.0004,0.0016,0.0436,0.0456,77.038739,0.049,0.877192983,3.781094527,1221.061026,0,3874.877551,,,3.1,100,100,100,,2.2,,31,15.70723484,14.27494888,0.062,
104,Madagascar,58729.5,16231.87,9339.025,43.53946824,515.285585,24.550138,0.518,1541,13179.24334,,19.29801015,13,0.1619,0.395,13.5569,530.177104,,95.89212873,11.34468619,0.743273285,0.105191422,14.53548875,12.32222222,,2.6,51.5,35.3,81.6,,36.5,756169982.9,69,40.36683998,3.044064128,0.49346,
105,Malawi,11848,15509.514,3112.59,149.1407495,340.870048,28.176121,0.482,1125,977.9178454,,2.363018497,1.166,0.0477,0.1431,1.3568,76.78466045,,85.9375,17.50483809,3.101513728,0.034947993,18.6501543,,,3.3,90.2,89.1,95.7,,30.9,1206219971,68,43.46868847,2.642024179,0.041755,
106,Malaysia,33080,7764.814,23859.45,94.02855502,10085.77479,8.611101,0.802,3194,18646.73207,,721.7630447,2.505,1.641,1.342,5.488,176.4366648,3.138,45.64504373,3.43948718,55.02887889,0.997881077,72.11192086,11.32543467,,3.1,98.2,93,100,7,7.3,5989999.771,63,23.69497915,6.920771309,22.450184,
107,Maldives,30,264.503,171.827,1654.673333,10854.16923,5.372112,0.716,,60.43488946,,0,0,0.0003,0.0056,0.0059,11.88552826,,0,15.66666667,,,1497.595986,0,,,98.6,97.9,99.5,,6.5,72080001.83,36,19.90967185,3.641000239,0,
108,Mali,124019,10833.712,7708.268,14.92709182,829.238323,37.831081,0.426,577.6,6482.131195,,745.1749986,5.075,0.004,0.107,5.186,280.1361031,,97.85962206,8.00308642,1.721866725,0.043689701,695.7732313,,,2.6,77,64.1,96.5,2291,60.2,1863209961,22,47.304697,2.495127818,13.795,
109,Malta,32,23.498,407.337,1368.540625,29664.30781,0.792872,0.883,,115.3144431,0.015,0,0.0254,0.001,0.0374,0.0638,145.6843855,,39.81191223,85.14851485,164.7435093,1.498186365,1257.909165,0,0,0,100,100,100,,6.1,,75,14.32879475,20.81717275,0,
110,Marshall Islands,18,12.413,40.714,322.5444444,3910.437649,16.556998,0.696,,0,,,,,,,,,,,,,,,,,94.6,97.6,93.5,,26.4,65970001.22,,,,,
111,Mauritania,103070,2085.278,2334.906,4.155011158,1597.806534,21.283142,0.524,190.3,2661.952986,0.88,116.752324,1.223,0.0318,0.0954,1.3502,315.2779756,,90.57917346,13.24621733,3.832713273,0.331365854,50.38587274,3.109489051,,2.5,57.9,57.1,58.4,111.6,50.1,412179992.7,35,39.88891432,3.156243813,0.5,
112,Mauritius,204,748.44,516.698,619.852451,10480.55486,3.095794,0.793,,2175.565184,1.083,73.44410711,0.344,0.012,0.26,0.616,487.149456,,55.84415584,22.173755,17.60014701,0.354810127,166.1015542,0,0,,99.9,99.8,99.9,0,14.3,22180000.31,52,17.25970884,11.99872723,0.09287,
113,Mexico,196438,26004.525,103158.751,63.51995235,8967.170167,3.38099,0.765,1052,3701.698235,,1220.430084,66.8,6.814,14.23,87.844,704.0061221,4.8,76.043896,32.94972017,12.93557207,0.246428357,51.73671558,19.57928803,384.2,2.9,96.1,92.1,97.2,,12.2,535789978,129,26.18511815,7.416660604,152.282,
114,Micronesia (Federated States of),70,81.683,23.861,159.2271429,3435.533995,25.931932,0.612,,0,,,,,,,,,,,,,,,,,89,87.4,94.8,,,,,,,,
115,Monaco,,0,38.695,,166204.2883,,,,,,,0,0,0.005,0.005,130.2354657,,0,,,,,,,2.8,100,,100,,2.5,,,,,,
116,Mongolia,156411.62,973.037,2102.61,1.990763858,3717.473332,10.345742,0.729,177.5,11176.10523,,80.28811229,0.2509,0.1662,0.0453,0.4624,148.5008925,,54.26038062,3.395007342,22.25559069,0.522252748,27.42902822,,,1.3,64.4,59.2,66.4,,13.4,314529998.8,89,30.79828114,4.189333452,0.25,
117,Montenegro,1381,210.847,418.113,45.44265025,7721.655345,6.853876,0.813,,,,1638.082551,0.0017,0.0628,0.0964,0.1609,256.3886016,,1.056556868,,20.84890131,45.85159709,7.542811795,,,3.5,99.7,99.2,100,,2,96940002.44,28,18.15021649,15.38917207,1.028,
118,Morocco,44655,13613.878,22125.702,79.68033815,3069.826908,12.358948,0.675,287.9,815.0358946,20,504.7177229,9.156,0.212,1.063,10.431,293.1599799,,87.7768191,50.75121202,8.435295817,0.42631716,123.0274495,7.271468144,150,2.9,85.4,65.3,98.7,,18.3,757859985.4,20,26.96951716,7.300454771,17.95849,
119,Mozambique,79938,19149.788,10519.046,35.83904776,445.554402,25.043681,0.442,1005,7577.92117,,2587.752571,1.076,0.025,0.372,1.473,51.41537487,,73.04820095,1.751486326,7.619941221,0.05874665,144.8743808,,2,3,51.1,37,80.6,,54.8,1907780029,29,44.36800049,2.878446169,74.13657,
120,Myanmar,67663,37187.526,16183.083,78.89470316,1245.826398,23.33474,0.577,2329,21876.07356,,290.9191834,29.57,0.4984,3.323,33.3914,625.5118365,,88.55573591,5.801501397,1.772520971,0.168960054,49.58149569,1.538388113,,3.2,80.6,74.4,92.7,,35.8,2079929932,105,25.91440126,6.0117046,15.53,
121,Namibia,82429,1292.108,1241.686,2.914790911,5354.102245,6.954911,0.643,339,16610.94308,0.65,294.898555,0.201,0.014,0.073,0.288,119.8684943,0.007,69.79166667,0.861552567,35.20359816,0.066692575,217.0511157,0.24691358,1.3,2.1,91,84.6,98.2,,30.7,148410003.7,58,36.90591013,3.608054423,0.708533,
122,Nauru,2,0,11.359,528.65,11778.66744,2.378466,,,945.8053533,,,,,,,,,,,,,,,,,96.5,,96.5,,25.7,54330001.83,,,,,
123,Nepal,14718,23638.57,5666.428,187.7475268,873.142986,27.084171,0.574,1751,7606.934702,,3.086924501,9.32,0.0295,0.1476,9.4971,343.6908637,,98.13522023,8.311832662,2.127185275,0.606124211,92.82768862,,,4.5,91.6,91.8,90.9,,25.6,1360739990,20,29.5703756,5.782567617,0.0853,
124,Netherlands,3739,1520.119,15515.819,455.2379513,48947.68,1.855595,0.932,893.1,5346.227887,1.9,542.4952561,0.0765,14.74,1.26,16.0765,944.4904684,3.421,0.475849843,15.16688817,44.20930522,56.97579314,8.960620813,,,2.5,100,100,100,,3.5,,33,15.88349624,19.60531972,9.234,
125,New Zealand,26771,636.894,4068.924,17.56390871,43651.46822,5.814862,0.92,1154,69544.37165,,3591.573349,3.207,1.184,0.81,5.201,1106.117055,,61.661219,8.04808476,33.30312278,2.876699109,28.55956957,,,1.7,100,100,100,,3.9,,68,19.56660408,15.99395617,16.8877,
126,Nicaragua,13037,2592.801,3624.78,48.97481016,2226.522932,15.072118,0.653,2013,25767.26205,,5012.722312,1.185,0.0736,0.286,1.5446,241.9165631,,76.71889162,2.692428472,6.955392845,0.214727002,41.03740522,,,3.6,87,69.4,99.3,214,14.3,389239990.2,40,29.854853,5.457992374,32.00546,
127,Niger,126700,17965.903,3511.445,17.05002526,520.085384,36.006794,0.373,310.4,1576.215067,5,4.334892328,1.536,0.036,0.1789,1.7509,81.05124703,,87.72631218,7.453924915,3.603993269,0.004195978,55.53536728,,0.35,3.4,58.2,48.6,100,3143,46.7,1490349976,58,49.84216915,2.596711426,0.093644,
128,Nigeria,92377,96361.295,94525.016,206.6242073,1968.552472,20.845226,0.533,1295,1499.424403,59.51,265.4470262,5.51,1.965,5,12.475,65.35751024,,44.16833667,9.668217054,30.81603801,0.219109025,53.91388678,,100,3.1,68.5,57.3,80.8,,74.2,3517320068,26,43.6875302,2.743083338,50.666735,
129,Niue,26,0.905,0.713,6.188461539,,,,,0,,,,,,,,,,,,,,,,,98.5,98.6,98.4,,,,,,,,
130,North Macedonia,2571,880.172,1202.988,80.98000778,5427.843757,7.873083,0.758,621.5,3073.973245,3,1099.858021,0.329217708,0.225809582,0.2775,0.832527289,399.8697833,,39.54437433,25.26621491,10.17342533,0.682738114,9.565521438,,,3.3,99.4,98.9,99.8,,5.3,141800003.1,11,16.39360314,14.08542237,2.2899,
131,Norway,38520.8,961.814,4343.569,13.74926274,75092.40243,1.976463,0.953,1414,74202.38105,275,6283.582242,0.8449,1.071,0.7753,2.6912,508.1258216,0.929,31.39491677,2.046463878,128.7703217,1.077241275,101.3402936,,,1.3,100,100,100,,2,,42,17.41297454,17.27266592,33.2799,
132,Oman,30950,762.22,3874.042,15.07569628,17099.28119,2.188219,0.833,23.44,300.0474932,0,18.94156961,1.607,0.135,0.13,1.872,401.2063624,0.037,85.84401709,116.7142857,37.12259004,0.910501427,260.6077301,,,1.9,93.4,86.1,95.5,,9.8,,16,22.41839475,2.448589805,0.08838,
133,Pakistan,79610,125220.255,71795.7,261.1558962,1538.413187,22.880883,0.558,355.6,1187.073735,,133.7537181,172.4,1.4,9.65,183.45,882.3690302,0.1237,93.97656037,122.6918594,1.435567923,0.300302743,34.35266781,47.30806487,7003,3.9,91.4,89.9,93.9,,55.7,2170739990,39,35.05437791,4.322407709,27.80822847,
134,Palau,46,4.484,17.245,38.71304348,13176.94095,3.204578,0.811,,0,,,,,,,,,,,,,,,,,95.3,86,97,,15.8,24940000.53,,,,,
135,Palestine,602,1186.188,3734.536,788.5759136,3277.485183,7.040725,0.689,,176.3134563,0.715,0,0.162,0.032,0.1812,0.3752,79.03561384,,43.17697228,41.07830552,34.74897042,5.983791909,83.32767373,,,3,58.4,81.5,50.7,,,,,,,0,
136,Panama,7520,1337.579,2761.008,54.61128989,15196.39734,2.357435,0.793,2461,33920.58331,,2224.88774,0.4461,0.0062,0.7591,1.2114,294.9764158,,36.82516097,0.90107111,46.5098211,0.300032249,2668.836476,,,2.8,94.7,88.6,97.7,313.7,12.8,71459999.08,30,26.77912011,8.313836605,9.1371,
137,Papua New Guinea,46284,7170.073,1081.089,18.23099991,2667.000159,18.425509,0.543,3250,94927.30299,,0,0.001,0.1676,0.2235,0.3921,46.46815918,,0.25503698,0.132242833,,,38.6455249,0,,1.6,40,32.8,88,,35.9,667349975.6,,35.48596536,3.509425418,0,
138,Paraguay,40675.2,2635.972,4175.325,16.88267298,5727.088492,10.28106,0.722,1228,56468.11642,,4882.583685,1.897,0.154,0.362,2.413,351.3875878,,78.61583092,1.835399711,13.61550318,0.149647078,66.98794908,,,3.3,98,94.9,100,,16.6,129880004.9,48,29.17933588,6.620824696,33.529,
139,Peru,128522,7166.47,24999.015,24.46608207,6550.996247,6.744033,0.756,2229,59781.90386,,183.589279,13.1,0.2066,2.797,16.1036,512.131007,,81.34826995,3.001031652,11.02352582,0.389802294,282.2199782,,300,2.8,86.7,69.2,91.4,600.2,10.3,475899993.9,18,25.25449584,8.39347886,5.772836,
140,Philippines,30000,55939.801,48978.289,350.5764167,2989.185417,9.663523,0.709,2640,4554.404092,146,67.55540934,67.97,15.85,8.929,92.749,881.8714512,0.136,73.28380899,28.35524304,3.375686298,0.169571645,5.759728505,13.44606947,300,4,91.8,90.3,93.7,866.4,21.6,905380004.9,29,30.47588107,5.31499622,7.105,
141,Poland,31270,15228.329,22942.383,121.3724976,13790.05371,2.752606,0.868,600.9,1594.069324,33,77.88280192,1.018,7.035,2.028,10.081,265.6167415,5.762,10.09820454,34.89096573,43.57022182,0.151468279,18.10813754,,,2.7,98.3,96.9,99.3,,3.8,,42,15.18538648,18.11689725,2.9559,
142,Portugal,9222.56,3651.305,6678.201,111.558255,21429.66708,2.095869,0.848,920.7,7522.942789,13,1130.647759,8.767,1.497,0.9141,11.1781,1086.46262,1.079,78.43014466,18.37653205,16.05155371,0.185083339,22.71475559,,,2.4,100,100,100,,3.1,,34,13.25208506,22.35669072,11.6327,
143,Puerto Rico,887,234.919,3428.212,356.6704622,28459.31527,0.812756,,1093,2244.231141,,,0.1135,2.365,0.796,3.2745,1035.03308,,3.466178042,19.53561063,30.29882963,1.871606238,20.65520196,,,,93.6,93.6,93.6,,,,,16.26077927,19.69708953,,
144,Qatar,1149,24.338,2614.873,237.1390775,63249.46732,0.185731,0.848,36,21.28652842,,,0.2917,0.1437,0.4772,0.9126,334.9325144,,31.96362043,432.4137931,191.6389489,1.068392839,653.111756,,,0,100,100,100,,5.6,,,13.5959001,1.523163117,,
145,Republic of Korea,10031,9429.948,41552.264,509.3850563,31852.31481,1.850756,0.904,,1364.087872,,368.6080521,15.96,4.45,6.672,27.082,530.0176147,9.208,58.93213204,85.22183304,52.44500978,1.58784407,113.9902195,64.10810144,,3.5,97.6,87.9,99.7,,,,34,,,18.83455,
146,Republic of Moldova,3385,2327.145,1724.067,119.9315805,2386.876265,11.472258,0.709,541.3,3022.402729,,277.7309761,0.042,0.65,0.148,0.84,206.9126563,,5,12.47401247,7.59932276,0.657892629,2.433093361,2.126582279,,3.8,88.4,81.4,96.9,,,,76,,,1.1275,
147,Romania,23840,9065.003,10614.303,82.44114513,10757.2827,4.313298,0.813,647.4,10787.13414,123,562.8583214,1.491,4.234,1.048,6.773,344.6123274,0.777,22.01387864,6.341166557,25.47891272,0.269568242,12.14030921,34.60593883,400,3.7,100,100,100,,5.7,,28,15.57395813,18.79006579,11.0624,
148,Russian Federation,1709825,37017.128,106972.626,8.511402161,10983.02208,3.544471,0.822,489.3,31096.28565,,5507.751999,18.66,28.04,17.71,64.41,442.5889075,20.92,28.97065673,4.096168705,18.7394646,0.055621121,13.68736943,4.078734919,,2,96.9,91.2,98.9,,4.9,,76,18.15492454,15.09412523,801.5436,
149,Rwanda,2634,10117.663,2090.744,454.8580486,748.350053,30.959589,0.529,1052,1110.094591,,0,0.102,0.0205,0.0614,0.1839,15.34935303,,55.46492659,6.089403974,31.51707184,0.112587067,64.07272164,,,3.6,76.1,71.9,86.6,,26.3,1191099976,93,39.76603218,3.028253062,0,
150,Saint Kitts and Nevis,26,38.314,17.031,200.1730769,18013.27029,1.109316,0.774,,461.1393986,,,0.0002,0,0.0154,0.0156,299.7406091,,1.282051282,50.83333333,,0.448104685,,,,,98.3,98.3,98.3,,,,28,,,,
151,Saint Lucia,62,145.557,33.287,291.8612903,10158.17545,1.490918,0.744,,1657.879903,,14.36829249,0.0304,0,0.0125,0.0429,237.0768262,,70.86247086,14.3,,0.001529112,,,,3.6,96.3,95.6,99.5,,,,29,,,0.0026,
152,Saint Vincent and the Grenadines,39,52.988,56.909,281.6076923,7208.365813,6.933535,0.726,,910.5229133,,,0,0.000002,0.0085,0.008502,77.41265809,,0,7.9,,,46146.99825,,,3.6,95.1,95.1,95.1,,,,41,,,,[1]
153,Samoa,284,160.194,36.246,68.78591549,4197.37637,10.277409,0.706,,0,,51.18964741,,,,,,,,,,,,,,,99,99.3,97.5,,12.9,123720001.2,58,37.86409737,4.933104005,0.01,
154,San Marino,6,0.978,32.422,561.1833333,45767.10165,0.020479,,,,,,,,,,,,,,,,,,,2.3,,,,,1.5,,,,,,
155,Sao Tome and Principe,96,57.276,147.051,215.7177083,1788.765113,12.086035,0.603,,10526.87492,,188.3248265,0.0256,0.0006,0.0147,0.0409,197.4996258,,62.59168704,1.876146789,7.489641146,0.301872955,77.18873232,,,,97.1,93.6,98.9,,23.5,51369998.93,29,42.14669667,2.960159214,0.039,
156,Saudi Arabia,214969,5394.59,27543.623,15.3981174,20905.39169,2.528473,0.856,128.6,72.50497029,,30.33304342,19.2,1,3.15,23.35,705.4129401,1.144,82.22698073,883.3333333,28.27098524,0.86951537,292.330248,0.300387597,,1.2,97,97,97,,5.7,,43,24.86598199,3.4128866,1.0040595,
157,Senegal,19671,8442.004,7408.563,78.38622846,1321.086287,15.073699,0.51,576,2527.34307,,16.21338895,2.065,0.058,0.098,2.221,144.0397474,0.0004,92.97613688,11.80728336,6.944874027,0.083592708,74.69183753,1.358145211,,2.5,78.5,67.3,92.9,,32.7,1443880005,29,42.83986907,3.098476445,0.25,
158,Serbia,8836,3872.979,4917.595,99.92788592,6271.824095,6.020665,0.794,,18369.96983,,257.0776481,0.6608,4.057,0.6595,5.3773,609.0064043,,12.28869507,6.059957173,5.911265871,0.122283527,2.239831204,,,3.5,99.2,98.9,99.4,,4.6,570700012.2,107,15.54094253,18.74050342,2.2699,
159,Seychelles,46,41.437,53.3,209.6043478,15867.05451,1.907301,0.8,,0,,10.37150739,0.0009,0.0038,0.009,0.0137,142.0896513,,6.569343066,,89.32303541,7.351763313,34.96573337,0.967741936,0,,95.7,95.7,95.7,,12.3,,,23.73873275,7.805481947,0.001,
160,Sierra Leone,7230,4410.71,3146.502,103.5743154,494.765953,60.290055,0.435,2546,21366.31438,,29.37868227,0.0457,0.0555,0.111,0.2122,28.33707444,,21.53628652,0.495794393,8.197602082,0.117383724,4.1658165,,,1.6,62.6,47.8,84.9,,80.9,594640014.6,90,40.72431131,2.947736623,0.22,
161,Singapore,71.9,0,5708.844,7938.860918,58974.9681,0.024563,0.934,,105.1148722,,13.12183987,0.026376,0.336294,0.29673,0.6594,115.5212445,0.531,4,82.01666667,,,214.6313212,,,2.9,100,,100,,2.1,,,12.33150315,12.39312948,0.0749,
162,Slovakia,4903,2519.468,2928.194,111.1136039,17526.28369,2.395682,0.854,762.7,9196.204042,,316.9478148,0.0316,0.2312,0.2935,0.5563,102.1127407,,5.68038828,2.393717728,146.1561717,2.21669565,103.6119541,,,3.8,100,100,100,,,,18,,,1.7267,
163,Slovenia,2026.64,951.104,1128.872,102.4549994,23347.22728,1.852617,0.899,949.3,15348.72476,,16.13373955,0.0039,0.758,0.1695,0.9314,448.5661199,,0.418724501,6.29749831,42.54633758,4.116669124,15.75356953,,,3.5,99.5,99.4,99.7,,1.7,,39,15.10564048,20.18628401,0.0335,
164,Solomon Islands,2890,468.983,142.36,22.0082699,1961.155429,26.673828,0.555,2945,70278.70932,,,,,,,,,,,,,,,,,80.8,77.2,93.2,,16.8,223889999.4,7,40.13119884,3.63080993,,
165,Somalia,63766,8198.119,6544.404,22.87924442,101.563368,52.879819,,408.3,1007.596109,0.6,0,3.281,0.002,0.015,3.298,226.0579571,,99.48453608,24.52774059,0.197997563,0.032626872,49.39703168,,,3.8,31.7,8.8,69.6,,74,1865579956,,46.37950567,2.889203812,0,
166,South Africa,121909,19369.002,37348.154,46.76418968,6153.459018,2.361245,0.704,548.3,900.7230271,11.972,544.1502854,11.39,4.1,3.89,19.38,339.9418163,2.414,58.77192982,62.05571566,14.65909676,0.165698482,18.05340703,0.435027793,100,2.8,93.2,81.4,99.6,,27.5,971479980.5,25,28.96832505,5.415255608,31.021875,
167,South Sudan,64433,10142.827,2432.887,16.93350147,606.006392,2.845713,0.414,,4536.804621,,,0.24,0.225,0.193,0.658,60.30742305,,36.47416413,4.226075787,19.17980474,0.028995838,27.24406445,,,2.5,58.7,56.9,66.7,,62.4,1885270020,,41.56805305,3.376805137,,
168,Spain,50593.523,9233.918,37120.403,92.2003949,28315.62792,2.801757,0.891,536,2390.271121,46.3,1153.645599,20.36,5.966,4.89,31.216,669.1901641,,65.22296258,42.56850716,35.97783064,0.498216207,36.18140482,,,2.7,100,100,100,,2.6,,19,14.57687197,19.64782295,53.8146,
169,Sri Lanka,6561,17038.849,3838.068,322.0245694,4216.125203,7.782051,0.776,1656,2499.049604,,281.2377414,11.31,0.831,0.805,12.946,612.7404578,,87.36289201,90.78541374,5.814464248,0.264393175,27.59762039,,,3.7,95.6,95,98.5,120,6.1,197350006.1,7,23.95646203,10.83880576,5.942,
170,Sudan,187936,26602.042,13931.288,21.71664662,3059.743671,25.26756,0.507,,926.1664742,,520.1723346,25.91,0.075,0.95,26.935,659.9548673,,96.19454242,118.6563877,2.654930547,0.209490508,200.3765465,,,3.3,55.5,50.2,66,,41,1624670044,25,40.15570605,3.627317326,21.23,
171,Suriname,16382,191.326,372.076,3.482456355,5697.565867,11.574505,0.722,1848,173533.2062,,35057.21337,0.4311,0.1355,0.0493,0.6159,1079.586886,,69.99512908,3.950609365,6.90031187,1.085369096,10.5621958,72.08450704,,1.4,94.8,88.4,98.1,,16.1,23379999.16,19,26.91185678,7.015129728,20,
172,Sweden,44743,1273.943,8636.758,22.13730863,54541.57444,1.443266,0.935,700.4,17567.06986,3,3630.426811,0.075,1.345,0.955,2.375,239.7804076,1.134,3.157894737,3.427128427,194.0764723,3.750993429,76.94651345,,,0.4,100,100,100,,2.1,,74,17.62549023,20.19856962,35.959,
