Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,Net official development assistance and official aid received (current US$),117129997.3,88540000.92,46090000.15,-209999.9934,3750000,29780000.69,3450000.048,25459999.08,14270000.46,13239999.77,40009998.32,25760000.23,32610000.61,31860000.61,64410003.66,77129997.25,112610000.6,101129997.3,35549999.24,28459999.08,32819999.69,54549999.24,111300003.1,100720001.2,99260002.14,99360000.61,59759998.32
Caribbean small states,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Net official development assistance and official aid received (current US$),43900001.53,47119998.93,63630001.07,57220001.22,65400001.53,80150001.53,59389999.39,45069999.69,54650001.53,62110000.61,76540000.92,99470001.22,90139999.39,82209999.08,96550003.05,125510002.1,112559997.6,132449996.9,87279998.78,85760002.14,99459999.08,261540008.5,557960022,2698110107,734719970.7,749710022,499660003.7
Curacao,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Net official development assistance and official aid received (current US$),-460000.0083,-1019999.981,-569999.9928,-2029999.971,-3799999.952,159999.9964,3009999.99,-3599999.905,-779999.9714,-1850000.024,-1429999.948,389999.9857,,,,,,,,,,,,,,,
Cyprus,Net official development assistance and official aid received (current US$),33799999.24,44029998.78,21430000.31,22579999.92,42220001.22,34529998.78,53310001.37,54400001.53,49700000.76,34250000,14390000.34,59860000.61,,,,,,,,,,,,,,,
Czech Republic,Net official development assistance and official aid received (current US$),99150001.53,148270004.3,147380004.9,128529998.8,115139999.4,447829986.6,317989990.2,437369995.1,313779998.8,159770004.3,263269989,278660003.7,,,,,,,,,,,,,,,
Germany,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Net official development assistance and official aid received (current US$),134429992.7,128570007.3,105559997.6,97080001.83,85650001.53,80980003.36,75150001.53,72239997.86,59400001.53,74099998.47,79260002.14,64330001.83,74169998.17,115379997.3,112669998.2,140820007.3,165830001.8,132029998.8,141399993.9,148460006.7,149250000,166110000.6,173389999.4,185350006.1,142610000.6,179210006.7,272480011
Dominica,Net official development assistance and official aid received (current US$),8909999.847,19590000.15,25000000,43130001.07,14560000.42,19350000.38,9930000.305,15279999.73,19690000.53,29600000.38,10970000.27,29399999.62,21110000.61,19659999.85,19450000.76,21379999.16,35950000.76,32450000.76,24440000.53,25680000.31,20079999.92,16290000.92,11710000.04,8569999.695,19219999.31,26940000.53,51389999.39
Denmark,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
