,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)_x","Agriculture, value added (% GDP)_y",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
36,Burundi,,0.0020902509506631984,0.42376247427567476,0.0008186517342409082,0.010215157218119927,0.33440376967533564,0.3299297998876497,0.00502326596886928,0.012591179793846533,0.5348086037001855,0.0509882253836669,0.3544888380058509
37,Cuba,,0.008364760709681014,0.15696088948552825,0.08318509472741671,0.015338155942869195,0.3448772369684,0.08870627169214915,0.007757356196805936,0.01806032658017611,0.783335306967262,0.4963886475539857,0.5896487653463841
38,South Africa,,0.015895128104783798,0.15724767009352852,0.07815055950126343,0.029585792253832087,0.17499792503143216,0.040874227592351015,0.014623984157717377,0.012394927686666965,0.7809215946626206,0.586880463097674,0.09768315295989086
39,Senegal,,0.00493278895172868,0.24552007047446003,0.013425347019831174,0.010452256446543674,0.1766411394503058,0.06754586896805467,0.005234288838575779,0.013674708024242777,0.619013905300842,0.06596081686789293,0.5232955205608721
40,Angola,,0.0017656171099819104,0.1866758876933805,0.049153617479618654,0.011881474017503271,0.39147309449631473,0.019134071320909555,0.002635860357840253,0.012996150906744393,0.15043877661571226,0.1156141322071474,0.2805295866288444
41,Mali,,0.010536246796748033,0.3365775716874861,0.007757495283558172,0.010092166921103277,0.18682621868152216,0.011065076945203403,0.004492565726240659,0.019556521130449086,0.7394198524057757,0.06175836951172158,0.5523262459181004
42,Austria,,0.0017761191426932893,0.14829798209879722,0.6263018233025603,0.02477432217152402,0.3942823183969197,0.0855602194173987,0.004251275978071838,0.030381259271079566,0.8196316947132629,0.6440547082974433,0.8351946890199379
43,Jamaica,,0.0016727480418306372,0.19790527028335375,0.061943898918427,0.017932749780151497,0.4418290748239102,0.23246095970042627,0.005369229024000187,0.01838425171636499,0.7413523339690937,0.17700572072827758,0.5574167538070179
44,Kyrgyzstan,,0.008990036189428143,0.18515648659033357,0.014222474979953945,0.0120338498193015,0.11870489993213403,0.02520252337012966,0.010953129824808588,0.01869172279393976,0.7604806260534779,0.2949653553405261,0.7755727411756815
45,Burkina Faso,,0.002356892958543123,0.3562087868064492,0.0066380701929522595,0.01027566193160854,0.2559270789797485,0.059387639467792824,0.004377846974630165,0.011799446791672968,0.8064444606814319,0.1417533569251508,0.5019558167719436
46,Israel,,0.003091762604632276,0.144791342164348,0.4650180705897484,0.010706671478091777,0.12237319729718787,0.3374027657363299,0.023677864471000173,0.011340449343890467,0.8196316947132629,0.12905764251515764,0.6796163368557872
47,Somalia,,0.007443433136872218,0.6306193989312451,0.0,0.010112147124837803,0.12638902095217638,0.018115627710249712,0.009307568404053017,0.012284911698201267,0.0,0.2156584496208989,0.4350188024790367
48,Zimbabwe,,0.006509708366277232,0.28800961754629767,0.008849573485811236,0.010955850610143907,0.24748654956907043,0.03147294685125637,0.011336932451012435,0.01320151129511749,0.5041358128894234,0.03426722688547625,0.20672997448606084
49,Belgium,,0.001612265156314223,0.14761138329058623,0.5760838553004434,0.02479778166777222,0.3874804391883312,0.32130994969539933,0.011187675052477855,0.014569746778855964,0.8196316947132629,0.6878296368511214,0.8634168274866645
50,Ethiopia,,0.01757931643995502,0.4344974389765411,0.007600914300265959,0.010483497490144397,0.35781717354961523,0.08997530169802222,0.01105855086486401,0.012770311825131208,0.45804348209494833,0.08415153710991559,0.47273616924403733
51,Guinea-Bissau,,0.001953864639947375,0.5693621239760476,0.004512399715545926,0.010185826144679373,0.384204992451851,0.04209122096996386,0.002592127740998284,0.03676756630350348,0.7363787764645456,0.07459985632226837,0.4978505380031115
52,Oman,,0.003965672183760976,0.1595754297773571,0.2289561228392438,0.01102674772864812,0.0,0.010438507929997768,0.02925602089784455,0.011138508346576497,0.8179587250156806,0.0,0.5895618611478722
53,Pakistan,,0.2333359956291125,0.33046927794994885,0.014134641621789616,0.019762004738323385,0.08568633819512922,0.23685238734677225,0.029005752476403787,0.012193920043568668,0.7300295541183016,0.2876569192851343,0.6732798872512485
