Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Net official development assistance and official aid received (current US$),17260000.23,123830001.8,134910003.7,132250000,111489997.9,105580001.8,123470001.2,92919998.17,75860000.61,74620002.75,56669998.17,27379999.16,38110000.61,39779998.78,15180000.31,113089996.3,10420000.08,10720000.27,3759999.99,-29889999.39,-7550000.191,550000.0119,-819999.9928,8529999.733,11550000.19,49369998.93,3730000.019,28879999.16,51930000.31,68720001.22,109139999.4,124980003.4,136619995.1,178720001.2,155199996.9,160740005.5,196600006.1,130729995.7,107559997.6,71180000.31,50540000.92,55860000.61,-7070000.172,80330001.83,54110000.61,170750000,98889999.39,106260002.1,102940002.4,75959999.08,181910003.7,161199996.9,128080001.8,80559997.56,245580001.8,54330001.83,178440002.4,70309997.56,,,
China,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,16850000.38,65500000,475899993.9,523380004.9,668799987.8,797479980.5,938750000,1095140015,1377290039,1916119995,2067250000,2030599976,1918750000,2988260010,3202379883,3132290039,3463699951,2655899902,2060830078,2456879883,2407000000,1749020020,1497660034,1511520020,1361550049,1709949951,1798339966,1268520020,1453219971,1305540039,1141390015,671890014.6,-603609985.4,-180529998.8,-656549987.8,-947070007.3,-306290008.5,-791429992.7,-989940002.4,-705450012.2,-589979980.5,
Cote d'Ivoire,Net official development assistance and official aid received (current US$),129999.9952,3369999.886,9000000,8649999.619,39009998.32,38619998.93,35950000.76,34020000.46,44840000.15,49659999.85,52580001.83,51069999.69,48279998.78,63319999.69,75620002.75,99680000.31,107449996.9,103949996.9,129550003.1,159919998.2,209800003.1,123050003.1,136429992.7,155320007.3,122989997.9,117360000.6,174419998.2,240479995.7,424730011,394559997.6,686400024.4,629900024.4,755700012.2,763630004.9,1593699951,1212439941,964770019.5,447000000,967270019.5,447779998.8,350920013.4,186080001.8,1067500000,253699996.9,160710006.7,91279998.78,247139999.4,171080001.8,584630004.9,2403010010,845309997.6,1437709961,2908350098,1273459961,925039978,651669982.9,615789978,829159973.1,960010009.8,1201229980,
Cameroon,Net official development assistance and official aid received (current US$),379999.9952,7119999.886,9449999.809,8899999.619,27760000.23,32279998.78,48590000.15,37860000.61,47860000.61,37549999.24,59270000.46,48189998.63,62860000.61,60880001.07,61889999.39,109620002.7,135059997.6,179429992.7,179619995.1,276820007.3,264760009.8,198270004.3,211979995.7,127660003.7,182990005.5,152479995.7,216490005.5,203119995.1,275630004.9,452649993.9,444380004.9,516260009.8,714780029.3,543719970.7,731409973.1,443989990.2,411380004.9,500059997.6,498690002.4,434480011,377160003.7,458089996.3,605739990.2,885619995.1,780739990.2,416540008.5,1716239990,1939900024,551789978,643789978,540229980.5,612080017.1,597169982.9,751960022,856119995.1,664119995.1,756609985.4,1216839966,1165339966,1335219971,
"Congo, Dem. Rep.",Net official development assistance and official aid received (current US$),82089996.34,91160003.66,120970001.2,111500000,127019996.6,142070007.3,93110000.61,93800003.05,76660003.66,83750000,89360000.61,107269996.6,121690002.4,138919998.2,180089996.3,258079986.6,193119995.1,259600006.1,315640014.6,415359985.4,431230011,392149993.9,346470001.2,310299987.8,300320007.3,305359985.4,421559997.6,673729980.5,551729980.5,730109985.4,895789978,475279998.8,268519989,177820007.3,244809997.6,194750000,166160003.7,157880004.9,127019996.6,135509994.5,178440002.4,246639999.4,1176170044,5417029785,1919150024,1881800049,2197239990,1348270020,1766900024,2362350098,3483649902,5526459961,2846169922,2584010010,2400020020,2599040039,2102330078,2292639893,2513929932,3025530029,
"Congo, Rep.",Net official development assistance and official aid received (current US$),19999.99955,189999.9976,3069999.933,5650000.095,17760000.23,15850000.38,25180000.31,18799999.24,21370000.84,17170000.08,15390000.34,17170000.08,23100000.38,26620000.84,37819999.69,55930000.31,72639999.39,48130001.07,80260002.14,90150001.53,91150001.53,80440002.44,91940002.44,107349998.5,96519996.64,69019996.64,107230003.4,137529998.8,86599998.47,90519996.64,217160003.7,133270004.3,115000000,124360000.6,363850006.1,126860000.6,431290008.5,268670013.4,64989997.86,140539993.3,32150001.53,73889999.39,57130001.07,69279998.78,115809997.6,1425550049,258299987.8,116319999.7,486630004.9,283970001.2,1315089966,261239990.2,140130004.9,150990005.5,106180000.3,88800003.05,87050003.05,107040000.9,146570007.3,187270004.3,
