,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.2. Water Stress (%),Human Development Index (HDI) [highest = 1] (-),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above(-of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
74,Antigua and Barbuda,1.05E-05,8.64E-05,9.70E-06,0.027074464,0.130013319,0.021411807,0.957403651,0.001071877,0.969253294,7.05E-05,0.976973684,0.023132074,7.36E-06,0.157332733,2.62E-06,1.19E-05,0.002190404,0.69137931,0.032817876,0.001867957,0.734693878,0.089806164,0.00150088,5.97E-06,0.129707113,0.227963938,0.052896725,0.313804375,0.547509675,0.25654656,0.294217454,0.060423211,0.151803386,0.003561317
75,Belize,0.001328226,0.000229217,0.00018241,0.00181033,0.043677119,0.135316176,0.977687627,0.113769794,0.992679356,0.000123428,1,0.053724049,0.000124968,0.680736675,9.94E-05,0.000101097,0.000320181,0.596551724,0.002554896,0.00013928,0.530612245,0.010717982,0.009238304,0.000144622,0.050209205,0.561933705,0.113350126,0.237844612,0.548729168,0.463145405,0.138229492,0.06136257,0.292487873,0.01377284
76,Saint Kitts and Nevis,0,4.31E-05,0,0.024969832,0.162979367,0.01312948,0.965517241,0.000907069,0.97510981,0.000173807,0.981359649,0.060111591,1.27E-05,0.01288694,2.91E-07,0,0.013194715,0.69137931,0.007864826,0.005237745,0.530612245,0.063079658,0.000653938,1.84E-05,0.092050209,0.227963938,0.109319899,0.310997699,0.550315169,0.213625962,0.305047081,0.089963018,0.088376015,0.000623045
77,Mali,0.07251905,0.012183432,0.009120429,0.001629903,0.006621145,0.457597175,0.929006085,0.012750466,0.663250366,0.001327483,0.606359649,0.056066667,0.006807017,0.983666667,0.007376453,1.91E-05,0.002071341,0.09137931,0.000766812,0.015030521,0.530612245,0.00124819,0.021255968,0.016393234,0.066945607,0.156517613,0.738035264,0.478234178,0.552326246,0.932353317,0.0498623,0.229155797,0.297818425,0.018847737
78,Niger,0.074087071,0.020204189,0.004143749,0.00189738,0.003808149,0.435516629,1,0.003100443,0.387994143,0.002233042,0.436403509,0.014990238,0.002293053,0.881808527,0.002232558,0.000171674,0.001928719,0,7.36E-05,0.001155982,0.693877551,0.002789826,0.000123652,0.000111281,0.217573222,0.081049326,0.568010076,0.512593345,0.552676697,1,0.053646309,0.19488482,0.297818425,0.002057613
79,Jamaica,0.000627559,0.001450374,0.001877831,0.033235076,0.045688164,0.079985924,0.949290061,0.007288648,0.909224012,0.001743108,0.88377193,0.093912656,0.001771499,0.084631221,0.000165698,0.005245589,0.003232328,0.606896552,0.029973443,0,0.714285714,0.006920984,5.32E-05,6.48E-06,0.020920502,0.368461486,0.129722922,0.269706901,0.557416754,0.298574178,0.289279107,0.069580583,0.262010664,0.001585185
80,Puerto Rico,0.000503568,0.000264186,0.004045049,0.044687602,0.258028366,0.009540019,0.870182556,0.004414442,0.906295754,0.010005239,0.929824561,0.211821721,0.004295171,0.034841375,0.000164971,0.011278016,0.005066434,0.833103448,0.032849148,0.000400098,0.069387755,0.024655372,0.002697524,0.000139672,0.317991632,0.302087805,0.036523929,0.300167274,0.558467161,0.104750903,0.690638662,0.089963018,0.256221587,0.003637119
81,Dominican Republic,0.002831327,0.002388141,0.010229355,0.026964927,0.063311951,0.068300181,0.703853955,0.004396886,0.775988287,0.010748327,0.801535088,0.176426701,0.011921249,0.837438893,0.010992733,0.003146876,0.013058748,0.634482759,0.003601267,0.000577832,0.755102041,0.00598607,0.006147437,0.002692436,0.322175732,0.225235556,0.27581864,0.290003954,0.563330962,0.409941822,0.228784722,0.070257988,0.22928995,0.001016049
82,Haiti,0.001607791,0.005638019,0.007056555,0.049612778,0.006136477,0.220789222,0.288032454,0.002511437,0.380673499,0.002372844,0.425438596,0.025508459,0.001897649,0.838113275,0.001757267,0.000243205,0.003468755,0.220689655,0.003584678,0.001068939,0.795918367,0.003846368,0.000771406,0.000352939,0.10041841,0.339652484,0.586901763,0.283965874,0.565555521,0.547233266,0.14554097,0.124673709,0.22928995,0.013787243
83,India,0.192244761,1,0.533555733,0.051058055,0.016912017,0.188755268,0.941176471,0.002807828,0.913616398,0.705283734,0.918859649,0.115557887,1,0.908757907,1,0.081068193,0.017261426,0.465517241,0.007175886,0.000714582,0.795918367,0.00214814,0.005272985,0.294071275,0.10041841,0.417606254,0.33627204,0.71423593,0.580881832,0.380871977,0.194497206,0.297849421,0.032150905,0.448024691
84,Mauritania,0.060266733,0.002345073,0.002748584,0.000272683,0.013614379,0.257306576,0.156186613,0.005236108,0.383601757,0.001181384,0.529605263,0.063317358,0.001766505,0.910484956,0.001777616,0.000151645,0.003433026,0.260344828,0.005815906,0.001044388,0.510204082,0.002977169,0.003330337,0.000594173,0.121338912,0.047128138,0.610831234,0.458478205,0.58479441,0.734655342,0.074488997,0.095786124,0.029209837,0.00036214
85,Oman,0.018086336,0.000857181,0.004573724,0.001648626,0.154662942,0.026188153,0.90872211,0.000590199,0.903367496,0.001617161,0.847587719,0.081046638,0.002452187,0.862888047,0.002335756,0.000643777,0.03030455,0.793103448,0.015980496,0.005600088,0.387755102,0.030244664,0.000540304,0.000105026,0.041841004,0,0.103274559,0.648692958,0.589561861,0.268907292,0.04812875,0.128055406,0.188707233,0
86,Cuba,0.006270328,0.002973525,0.010463086,0.013042939,0.075808932,0.045704878,0.926977688,0.006612667,0.925329429,0.021390859,0.888157895,0.124891468,0.009136865,0.652739547,0.006568314,0.003528851,0.006210147,0.696551724,0.003474166,0.00054895,0.612244898,0.009939808,0.014243553,0.006728576,0.071129707,0.304912217,0.027707809,0.268330873,0.589648765,0.098927776,0.536716016,0.103826744,0.086441724,0.009876543
87,United Arab Emirates,0.004138498,0.001453761,0.00959377,0.01658011,0.364678495,0.009224174,0.99188641,3.11E-05,0.994143485,0.007750786,1,0.085215131,0.005245901,0.832706509,0.004813953,0.000329041,0.44357479,0.846551724,0.015462323,0.045444967,0.244897959,0.075828134,0.000183618,7.26E-05,0.19665272,0.008052398,0.060453401,0.642788583,0.607618098,0.063478175,0,0.098512472,0.292017258,0.008028889
