,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
10,Azerbaijan,0.0050631,0.004948019,0.006764376,0.0140283,0.048733115,0.091531744,0.658940397,0.007169524,0.062925547,0.012917151,0.013347931,0.006683274,0.015722837,0.242061665,0.746286268,0.017078723,0.010407629,0.003446008,0.00121798,0.773060029,0.714912281,0.845070423,0.231300345,0.025599827
11,Bahamas,0.000810026,7.53E-05,0.000408293,0.003252951,0.188936703,0.01863443,0.759933775,0.003688061,0.037267984,0.022984565,0.01702681,0.00039697,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.976573939,0.98245614,0.962441315,0.242256861,0.050288757
12,Bahrain,4.33E-05,0.000169212,0.001557427,0.224933848,0.154922983,0.004349704,0.764900662,0.000170938,0,0.000203568,8.36E-05,0.00349141,0.000539628,0.058498897,0.338695242,0.052922026,0.190912797,0.008173477,0.110492532,1,1,1,0.052934407,0
13,Bangladesh,0.008681021,0.122645212,0.067580995,0.135424718,0.004665892,0.289371556,0.379139073,0.01556565,0.001160765,0.045784884,0.003305856,0.049361852,0.047129088,0.042978036,0.882721283,0.001841285,0.011558749,0.010733724,0.008269042,0.777452416,0.828947368,0.669014085,0.317606444,0.007696918
14,Barbados,2.34E-05,0.0002232,0.00011227,0.087758206,0.107008589,0.023259928,0.783112583,0.000540174,0.037267984,7.97E-05,2.66E-05,0.000252406,9.99E-05,0.052035063,0.680048615,0.028276844,0.146317572,0.011763717,0.014706362,0.991215227,0.993421053,0.985915493,0.126582278,0.050288757
15,Belarus,0.01213986,0.002665706,0.009718613,0.005809374,0.04487562,0.145145211,0.76986755,0.011777923,0.00890863,0.000702035,0.002065802,0.00767598,0.001997823,0.028711293,0.318292782,0.001616333,0.086689769,0.001236966,0.006370358,0.995607613,0.990131579,0.997652582,0.013808976,0.003683873
16,Belgium,0.001783811,0.00028956,0.014688854,0.048188476,0.293963062,0.013409918,0.938741722,0.003162323,0.000352274,5.23E-05,0.018173622,0.0099234,0.006555891,0.08318582,0.007246001,0.021039116,0.229551728,0.019259411,0.002830383,1,1,1,0.016110472,0.000171478
17,Belize,0.00134166,0.000213495,0.000198411,0.001721771,0.028995485,0.240045113,0.609271523,0.12317648,0.009744011,9.94E-05,9.10E-05,0.000134434,0.000126151,0.054547009,0.680736675,0.000398537,0.03549849,0.002842541,0.001692729,0.989751098,1,0.962441315,0.124280783,0.000144622
18,Benin,0.006710055,0.006295354,0.005815818,0.011066833,0.004709203,0.400903365,0.25,0.005195949,6.54E-05,8.58E-05,0.0001288,0.00185542,0.000290222,0.00251294,0.26258058,0.00030639,0.060705473,0.004075071,0.007392924,0.651537335,0.673245614,0.629107981,0.705408516,2.79E-05
19,Bhutan,0.002243508,0.000554829,0.000363269,0.002196632,0.015162579,0.285560015,0.418874172,0.21297156,0,0.000462209,1.29E-05,0.000211253,0.000437585,0.089088666,0.945703161,0.000448163,0.01256025,0.005885668,0.028992658,0.970717423,0.968201754,0.992957746,0.284234753,0
