,country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
37,Tuvalu,2,0,4.84E-06,0,0.047500996,0.023009844,0.228311815,0.580070449,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.966325037,0.967105263,0.965517241,0.234256927,0.051617935
38,Uzbekistan,3,0.026164712,0.017745599,0.019120028,0.008749509,0.010549869,0.363703881,0.575862069,0.003007785,0.019646097,0.079011628,0.010157368,0.030333105,0.077392099,0.378514335,0.927702174,0.043861022,0.000933567,0.007941129,0.000164564,0.814055637,0.790570175,0.969574037,0.176322418,0.026157755
39,Vanuatu,2,0.000711185,0.000232489,7.43E-05,0.002700169,0.018568005,0.258365053,0.382758621,0.068894877,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.919472914,0.922149123,0.977687627,0.255667506,0.051617935
0,Afghanistan,1,0.038181167,0.026960392,0.01005294,0.006125357,0.003791276,0.454548611,0.233443709,0.004016066,0.001744726,0.029069767,0.000727718,0.002768236,0.026764828,0.121565861,0.986782782,0.017692174,0.001736647,0.001659427,0.003618774,0.29136164,0.382675439,0.401408451,0.570771001,0.002387387
1,Armenia,3,0.001737608,0.001226854,0.002464224,0.01269439,0.023476812,0.320471371,0.660596026,0.005159878,0.013013128,0.003063953,0.000996909,0.008215544,0.003858107,0.190647218,0.720476804,0.019170537,0.007229197,0.00585547,0.001373507,0.995607613,0.993421053,0.995305164,0.120828539,0.001648129
2,Australia,4,0.452748298,0.003858236,0.026432836,0.000153754,0.458125913,0.040254076,0.983443709,0.041149028,0.091908709,0.013934593,0.011540443,0.051337204,0.021043502,0.130177493,0.601577725,0.001995277,0.193146492,0.006193946,0.015975495,1,1,1,0.01726122,0.092437045
3,Azerbaijan,2,0.0050631,0.004948019,0.006764376,0.0140283,0.048733115,0.091531744,0.658940397,0.007169524,0.062925547,0.012917151,0.013347931,0.006683274,0.015722837,0.242061665,0.746286268,0.017078723,0.010407629,0.003446008,0.00121798,0.773060029,0.714912281,0.845070423,0.231300345,0.025599827
4,Bangladesh,1,0.008681021,0.122645212,0.067580995,0.135424718,0.004665892,0.289371556,0.379139073,0.01556565,0.001160765,0.045784884,0.003305856,0.049361852,0.047129088,0.042978036,0.882721283,0.001841285,0.011558749,0.010733724,0.008269042,0.777452416,0.828947368,0.669014085,0.317606444,0.007696918
5,Bhutan,2,0.002243508,0.000554829,0.000363269,0.002196632,0.015162579,0.285560015,0.418874172,0.21297156,0,0.000462209,1.29E-05,0.000211253,0.000437585,0.089088666,0.945703161,0.000448163,0.01256025,0.005885668,0.028992658,0.970717423,0.968201754,0.992957746,0.284234753,0
6,Brunei Darussalam,4,0.000335707,0.000112695,0.000402027,0.008982098,0.312949708,0.011150259,0.836092715,0.040809646,0.003053099,7.70E-06,0.01702681,0.002056287,0.000114324,0.041664386,0.057907186,0.001111716,0.101144359,0.045438947,0.037014052,0.814548817,0.800654395,0.861502347,0.084004603,5.35E-05
7,Cambodia,2,0.010586482,0.013512497,0.004209027,0.010648402,0.005478261,0.600205834,0.347682119,0.061704272,1.83E-06,0.002984012,0.00014168,0.001322388,0.002863357,0.026027849,0.944888876,0.000326207,0.012388782,0.005784683,0.016614314,0.543191801,0.593201754,0.809859155,0.278481013,1.19E-06
8,Fiji,3,0.001066778,0.000473507,0.000622184,0.006074484,0.029151869,0.172836521,0.602649007,0.06322083,0.004161811,7.27E-05,4.12E-05,0.00032511,0.000104994,0.016659483,0.591979592,8.73E-05,0.103894922,0.003574218,0.010299649,0.935578331,0.903508772,0.988262911,0.220943613,0.000158093
9,Georgia,3,0.004074693,0.002078651,0.003129327,0.007536232,0.025644946,0.145943628,0.680463576,0.029850341,0.022732629,0.001541888,0.0017268,0.004916084,0.002388978,0.082818973,0.584923509,0.001910713,0.017553948,0.006373592,0.000656173,0.97510981,0.960526316,1,0.085155351,0.004056895
10,India,1,0.192255685,1,0.542038442,0.051117348,0.008916344,0.301341078,0.433774834,0.002891908,0.005087617,1,0.072986433,0.768170495,1,0.11163931,0.908757907,0.021485716,0.005364313,0.004987824,0.004430793,0.88579795,0.893640351,0.915492958,0.361334868,0.282781988
11,Indonesia,2,0.111760172,0.140432503,0.173122605,0.017100479,0.023497545,0.239119866,0.569536424,0.015564479,0.002507501,0.249119601,0.063441603,0.277524984,0.271222322,0.154978663,0.834685762,0.008412056,0.00891819,0.003778836,0.003309968,0.790629575,0.75,0.849765258,0.239355581,0.027356601
12,Japan,4,0.02210347,0.013164834,0.158797221,0.045078576,0.317233077,0.019872699,0.92218543,0.006413994,0.006628164,0.079113372,0.04984544,0.211368151,0.107024356,0.11787337,0.671725239,0.01206297,0.150199158,0.010768746,0.014999359,1,1,1,0.003452244,0.037378083
13,Kazakhstan,3,0.159365712,0.008431469,0.013070363,0.000579081,0.080147652,0.07627067,0.735099338,0.012397092,0.129154987,0.01815407,0.027550232,0.034094027,0.028106624,0.239255233,0.586833459,0.009581482,0.01933917,0.000611978,0.001204576,0.89897511,0.846491228,0.981220657,0.093210587,0.095004585
14,Kiribati,1,4.56E-05,6.29E-05,6.27E-05,0.017274519,0.010957353,0.435871396,0.427152318,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.512445095,0.458333333,0.704225352,0.481012658,0.050288757
15,Malaysia,3,0.019345289,0.009365724,0.028593707,0.011479413,0.070188092,0.174948953,0.735099338,0.038222127,0.020900941,0.003640988,0.007045337,0.018387235,0.007205041,0.03377526,0.458815465,0.001003834,0.123864463,0.015815894,0.009710776,0.969253294,0.916666667,1,0.060989643,0.026678588
16,Maldives,3,1.58E-05,0.000280571,0.000186989,0.176368664,0.048419344,0.092442902,0.579470199,0.000144669,0,0,1.29E-06,5.49E-05,1.18E-06,0.00093425,0,0.005055618,0.101144359,0.017080962,0.158234444,0.979502196,0.976973684,0.988262911,0.073647871,0
17,Marshall Islands,2,8.77E-06,1.56E-05,4.50E-05,0.04178594,0.022545969,0.375329308,0.583461607,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.919472914,0.972587719,0.845070423,0.309551208,0.050288757
18,Mongolia,2,0.091476774,0.001041922,0.002589028,0,0.027975454,0.201194975,0.630794702,0.023600003,0.002395145,0.000368241,0.000704104,0.000978759,0.000637718,0.030901445,0.519401783,0.001154835,0.044243539,0.007191162,0.002557357,0.46852123,0.493421053,0.248826291,0.16570771,0.000297087
19,Myanmar,2,0.039569031,0.041765177,0.020235062,0.009894484,0.007094973,0.547701172,0.336092715,0.043510533,0.008174411,0.042979651,0.00213979,0.045562043,0.043872036,0.120749872,0.890145739,0.001866552,0.002946023,0.002594911,0.004999926,0.711566618,0.719298246,0.828638498,0.433831991,0.018455015
20,Nepal,2,0.008606159,0.026430271,0.006540251,0.024217431,0.003484982,0.593548346,0.347682119,0.014919289,8.55E-05,0.013546512,0.000126653,0.002002787,0.012473275,0.064566524,0.986436929,0.002678055,0.00463444,0.009763406,0.0132829,0.837481698,0.871710526,0.802816901,0.30840046,0.000101366
