,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
88,Burundi,0.4220175822000005,16.813782967778252,271.3384629488896,0.03343516460000007,993.8052476086644,550.5690060120014,18.410008477257122,-562.2271041444474,85.19600000000008,3.1407302087172866,-3.3731
89,Angola,-0.14718263719999847,-1.1178393177777366,7476.359886403254,0.4974114285714286,1204.0976192177764,36.27813738943428,2.6777304918571403,-8103.253747501178,52.65199999999993,2.2919105319306254,-11.2027
90,Nepal,9.319999999999997,1.183035846666371,1231.8603182600054,0.03167617207999944,1826.2520369999997,280.3303383120883,8.236965514959996,293.3709217310534,124.43866666666645,104.1896683126688,28.3949
91,Bulgaria,-0.8523475417600253,-7.537072272222304,12926.557717133197,3.113457686613337,460.53242329544173,49.38946136594461,-28.005315430380506,3510.586304909997,98.74000000000004,0.2714033331722021,42.7339
92,Greece,13.855071607088945,-4.351889803333279,40187.18151884875,0.2748998224433361,492.64611904855246,94.08254397492243,33.699022904613344,5269.763516174433,103.36933333333336,3.249995259568095,39.0742
93,Iceland,0.013435136190473207,-0.6727778333332708,115395.77148595918,0.3714170066666753,860.894859281113,4.169017810635545,0.6214699851857208,279565.2174460031,100.00000000000007,4.91712921288854,64.9631
94,Belarus,0.35650000000000226,-11.368645399999878,14069.918900653138,0.1798626670199983,651.7088889266668,39.803479836666725,1.7375126340799056,6847.677556506678,100.0253333333334,-5.99198479950428,53.7098
95,Philippines,70.65399999999983,-2.8223656166668434,4447.269661073326,34.6995720000009,2918.2617777777614,521.0488827464451,39.41603993799947,-1263.953695796663,101.8959999999999,6.41795539855957,12.8797
96,Togo,0.14164395597142887,33.56084147777784,731.039576957779,-0.0007971427428570821,940.9114815977782,203.5798880309112,6.109956963599956,-1573.897020857752,83.07466666666687,-0.263839403167367,8.6195
97,Gabon,0.08675978005714224,4.36836016777788,10736.509176906606,0.01598703305714283,1744.1401850455568,11.176658322464363,0.8824604277714307,-61914.91174903326,114.61600000000021,-0.5547970714978874,-0.8037
98,Guyana,1.1825400000000066,18.756988563333906,6674.135065692157,0.04323773333333336,2220.2306879422217,3.4871631187944434,3.1140438376666815,361538.53714155563,123.80666666666662,-23.75659155845642,4.8604
99,Cameroon,1.6346321428571358,10.194509314444389,1788.669262702224,0.149028214285714,1675.4889998233302,77.62980991534437,3.056335894,-10123.985821244074,108.05199999999991,66.70012839138508,7.3697
100,Jamaica,-0.6391085710400333,4.413399788888881,8656.671944582107,2.8231394443200912,1307.129629548885,331.8177295652222,19.0557146764001,2390.5681989499863,94.7106666666667,-0.14564451668411493,18.1096
101,Argentina,40.66841817900047,4.992230851111117,21899.83602650196,5.394881817899986,1232.5715767316651,20.948763448582213,12.9799180554555,8600.532083333354,105.83999999999997,-87.58030232787132,-38.4161
102,Belgium,-0.24242603182618794,-1.319595009999972,80991.70689092926,-0.5635849205548311,1305.1107198592217,451.0093186200038,-1.1018632675718436,1403.8369379855558,100.00000000000007,14.900311633944511,50.5039
103,Botswana,0.09244802416000086,-14.080885935556012,13443.271123637795,0.03618551125333391,424.50659260655027,5.834976361692213,3.456861198199988,-3219.239949074632,100.72000000000003,24.058808840811253,-22.3285
104,Sierra Leone,-0.20522285714285893,76.96982318999994,629.0777124166616,0.10893032974285743,2624.913174773332,145.03001230232258,0.2958041505142841,-2462.551195344422,95.75599999999963,9.580211970256642,8.4606
105,Austria,0.0013436904761885415,-1.9212486855555824,88671.3991887276,2.649350476352369,1255.1702961566634,115.18996880001089,9.511227120049965,7772.512555910012,100.00000000000007,11.036032877862453,47.5162
106,Guatemala,2.6080160000000205,-11.015511102221808,6484.381463194382,1.2342954287066732,1991.4827777777882,227.2418804432209,8.443511750380083,-2498.664161325549,114.47066666666683,76.76193834841251,15.7835
107,Colombia,11.155970000000082,-3.850369738888844,11541.770618839888,10.228995000000282,2877.2244815622234,60.63852152862239,3.6692712982800657,7073.831566121895,95.1453333333334,-21.995005007833242,4.5709
108,Indonesia,353.37960379466676,1.3812344011108735,6129.463125774404,30.102733332000298,2965.849735710001,188.8417537624664,55.079981382133155,1475.5047828066163,110.21866666666665,3.6964863324537873,-0.7893
109,Australia,-0.5989500000002863,0.2860316533333105,108077.91054087365,3.685355000000037,711.6426962941075,4.185550565848892,1.2695197697598815,7564.996954233502,100.00000000000007,62.899962328374386,-25.2744
